Book ID,Book Title,Author,Genre,Summary,Number of Reviews,Average Rating,Publishing Year,Language Code,Gross Sales,Publisher Revenue
902,The Westing Game,Ellen Raskin,Mystery,"A bizarre chain of events begins when sixteen unlikely people gather for the reading of Samuel W. Westing's will. And though no one knows why the eccentric, game-loving millionaire has chosen a virtual stranger—and a possible murderer—to inherit his vast fortune, one thing's for sure: Sam Westing may be dead ... but that won't stop him from playing one last game!",14444,4.0,1978,eng,997.5,598.5
1067,1776,David McCullough,History,"In this masterful book, David McCullough tells the intensely human story of those who marched with General George Washington in the year of the Declaration of Independence - when the whole American cause was riding on their success, without which all hope for independence would have been dashed and the noble ideals of the Declaration would have amounted to little more than words on paper.Based on extensive research in both American and British archives, 1776 is a powerful drama written with extraordinary narrative vitality. It is the story of Americans in the ranks, men of every shape, size, and color, farmers, schoolteachers, shoemakers, no-accounts, and mere boys turned soldiers. And it is the story of the King's men, the British commander, William Howe, an his highly disciplined redcoats who looked on their rebel foes with contempt and fought with a valor too little known.At the center of the drama, with Washington, are two young American patriots, who, at first, knew no more of war than what they had read in books - Nathaniel Green, a Quaker who was made a general at thirty-three, and Henry Knox, a twenty-five-year-old bookseller who had the preposterous idea of hauling the guns of Fort Ticonderoga overland to Boston in the dead of Winter.But it is the American commander-in-chief who stands foremost - Washington, who had never before led an army in battle. Written as a companion work to his celebrated biography of John Adams, David McCullough's 1776 is another landmark in the literature of American history.",8515,4.09,2005,eng,7814.4,4688.64
1110,The Broker,John Grisham,Fiction,"In his final hours in the Oval Office, the outgoing President grants a controversial last-minute pardon to Joel Backman, a notorious Washington power broker who has spent the last six years hidden away in a federal prison.What no one knows is that the President issued the pardon only after receiving enormous pressure from the CIA. It seems Backman, in his power broker heyday, may have obtained secrets that compromise the world's most sophisticated satellite surveillance system.Backman is quietly smuggled out of the country in a military cargo plane, given a new name, a new identity, and a new home in Italy. Eventually, after he has settled into his new life, the CIA will leak his whereabouts to the Israelis, the Russians, the Chinese, and the Saudis. Then the CIA will do what it does best: sit back and watch. The question is not whether Backman will survive, there is no chance of that. The question the CIA needs answered is, who will kill him?",3629,3.83,2005,eng,114.84,68.904
1848,Wild Swans: Three Daughters of China,Jung Chang,Nonfiction,"Alternate cover edition of ISBN 9780743246989The story of three generations in twentieth-century China that blends the intimacy of memoir and the panoramic sweep of eyewitness history—a bestselling classic in thirty languages with more than ten million copies sold around the world, now with a new introduction from the author.An engrossing record of Mao’s impact on China, an unusual window on the female experience in the modern world, and an inspiring tale of courage and love, Jung Chang describes the extraordinary lives and experiences of her family members: her grandmother, a warlord’s concubine; her mother’s struggles as a young idealistic Communist; and her parents’ experience as members of the Communist elite and their ordeal during the Cultural Revolution. Chang was a Red Guard briefly at the age of fourteen, then worked as a peasant, a “barefoot doctor,” a steelworker, and an electrician. As the story of each generation unfolds, Chang captures in gripping, moving—and ultimately uplifting—detail the cycles of violent drama visited on her own family and millions of others caught in the whirlwind of history.",7325,4.28,1991,en-US,434.91,260.946
1911,The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,Nonfiction,"When scholars write the history of the world twenty years from now, and they come to the chapter Y2K to March 2004 , what will they say was the most crucial development? The attacks on the World Trade Center on 9/11 and the Iraq war? Or the convergence of technology and events that allowed India, China, and so many other countries to become part of the global supply chain for services and manufacturing, creating an explosion of wealth in the middle classes of the world's two biggest nations, giving them a huge new stake in the success of globalisation? And with this flattening' of the globe, which requires us to run faster in order to stay in one place, has the world got too small and too fast for human beings and their political systems to adjust in a stable manner?In this brilliant new book, the award-winning New York Times columnist Thomas Friedman demystifies the brave new world for readers, allowing them to make sense of the often bewildering global scene unfolding before their eyes. With his inimitable ability to translate complex foreign policy and economic issues, Friedman explains how the flattening of the world happened at the dawn of the 21st century; what it means to countries, companies, communities and individuals; and how governments and societies can, and must, adapt.",3699,3.69,2005,en-US,544.18,326.508
2052,The Big Sleep,Raymond Chandler,Mystery,"Down these mean streets a man must go who is not himself mean, who is neither tarnished nor afraid....He is the hero; he is everything. He must be a complete man and a common man and yet an unusual man.This is the Code of the Private Eye as defined by Raymond Chandler in his 1944 essay The Simple Act of Murder. Such a man was Philip Marlowe, private eye, an educated, heroic, streetwise, rugged individualist and the hero of Chandler's first novel, The Big Sleep. This work established Chandler as the master of the 'hard-boiled' detective novel, and his articulate and literary style of writing won him a large audience, which ranged from the man in the street to the most sophisticated intellectual.",7930,3.95,1939,eng,126.72,76.032
2175,Madame Bovary,Gustave Flaubert,Fiction,"Madame Bovary is the debut novel of French writer Gustave Flaubert, published in 1856. The character lives beyond her means in order to escape the banalities and emptiness of provincial life. When the novel was first serialized in La Revue de Paris between 1 October 1856 and 15 December 1856, public prosecutors attacked the novel for obscenity. The resulting trial in January 1857 made the story notorious. After Flaubert's acquittal on 7 February 1857, Madame Bovary became a bestseller in April 1857 when it was published in two volumes. A seminal work of literary realism, the novel is now considered Flaubert's masterpiece, and one of the most influential literary works in history.",16516,3.7,1856,eng,9308.67,0.0
2199,Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,History,"Winner of the Lincoln PrizeAcclaimed historian Doris Kearns Goodwin illuminates Lincoln's political genius in this highly original work, as the one-term congressman and prairie lawyer rises from obscurity to prevail over three gifted rivals of national reputation to become president.On May 18, 1860, William H. Seward, Salmon P. Chase, Edward Bates, and Abraham Lincoln waited in their hometowns for the results from the Republican National Convention in Chicago. When Lincoln emerged as the victor, his rivals were dismayed and angry.Throughout the turbulent 1850s, each had energetically sought the presidency as the conflict over slavery was leading inexorably to secession and civil war. That Lincoln succeeded, Goodwin demonstrates, was the result of a character that had been forged by experiences that raised him above his more privileged and accomplished rivals. He won because he possessed an extraordinary ability to put himself in the place of other men, to experience what they were feeling, to understand their motives and desires.It was this capacity that enabled Lincoln as president to bring his disgruntled opponents together, create the most unusual cabinet in history, and marshal their talents to the task of preserving the Union and winning the war.We view the long, horrifying struggle from the vantage of the White House as Lincoln copes with incompetent generals, hostile congressmen, and his raucous cabinet. He overcomes these obstacles by winning the respect of his former competitors, and in the case of Seward, finds a loyal and crucial friend to see him through.This brilliant multiple biography is centered on Lincoln's mastery of men and how it shaped the most significant presidency in the nation's history.",8315,4.28,2005,eng,726.57,435.942
2373,The Bone Collector,Jeffery Deaver,Mystery,"Lincoln Rhyme was once a brilliant criminologist, a genius in the field of forensics -- until an accident left him physically and emotionally shattered. But now a diabolical killer is challenging Rhyme to a terrifying and ingenious duel of wits. With police detective Amelia Sachs by his side, Rhyme must follow a labyrinth of clues that reaches back to a dark chapter in New York City's past -- and reach further into the darkness of the mind of a madman who won't stop until he has stripped life down to the bone.",3719,4.2,1997,en-US,5253.22,3151.932
2510,The War of the Worlds,H.G. Wells,Science Fiction,"When an army of invading Martians lands in England, panic and terror seize the population. As the aliens traverse the country in huge three-legged machines, incinerating all in their path with a heat ray and spreading noxious toxic gases, the people of the Earth must come to terms with the prospect of the end of human civilization and the beginning of Martian rule.Inspiring films, radio dramas, comic-book adaptations, television series and sequels,The War of the Worlds is a prototypical work of science fiction which has influenced every alien story that has come since, and is unsurpassed in its ability to thrill, well over a century since it was first published.",12411,3.83,1897,eng,15968.0,0.0
2744,Anansi Boys,Neil Gaiman,Fantasy,God is dead. Meet the kids.Fat Charlie Nancy's normal life ended the moment his father dropped dead on a Florida karaoke stage. Charlie didn't know his dad was a god. And he never knew he had a brother. Now brother Spider's on his doorstep -- about to make Fat Charlie's life more interesting... and a lot more dangerous.,11843,4.04,2005,eng,1572.1,943.26
3008,A Little Princess,Frances Hodgson Burnett,Classics,"Sara Crewe, an exceptionally intelligent and imaginative student at Miss Minchin's Select Seminary for Young Ladies, is devastated when her adored, indulgent father dies. Now penniless and banished to a room in the attic, Sara is demeaned, abused, and forced to work as a servant. How this resourceful girl's fortunes change again is at the center of A Little Princess , one of the best-loved stories in all of children's literature.This unique and fully annotated edition appends excerpts from Frances Hodgson Burnett 's original 1888 novella Sara Crewe and the stage play that preceded the novel, as well as an early story, ""Behind the White Brick,"" allowing readers to see how A Little Princess evolved. In his delightful introduction, U. C. Knoepflmacher considers the fairy-tale allusions and literary touchstones that place the book among the major works of Victorian literature, and shows it to be an exceptionally rich and resonant novel.",10020,4.22,1905,eng,23792.34,14275.404
3087,A Room with a View,E.M. Forster,Classics,"""But you do,"" he went on, not waiting for contradiction. ""You love the boy body and soul, plainly, directly, as he loves you, and no other word expresses it ...""Lucy has her rigid, middle-class life mapped out for her, until she visits Florence with her uptight cousin Charlotte, and finds her neatly ordered existence thrown off balance. Her eyes are opened by the unconventional characters she meets at the Pension Bertolini: flamboyant romantic novelist Eleanor Lavish, the Cockney Signora, curious Mr Emerson and, most of all, his passionate son George.Lucy finds herself torn between the intensity of life in Italy and the repressed morals of Edwardian England, personified in her terminally dull fiancé Cecil Vyse. Will she ever learn to follow her own heart?",8775,3.9,1908,eng,891.02,0.0
3273,Moloka'i,Alan Brennert,Historical Fiction,"Set in Hawai'i more than a century ago, this is the story of Rachel Kalama, a spirited seven-year-old Hawaiian girl, who dreams of visiting far-off lands like her father, a merchant seaman. Then one day a rose-colored mark appears on her skin, and those dreams are stolen from her. Taken from her home and family, Rachel is sent to Kalaupapa, the quarantined leprosy settlement on the island of Moloka'i. Here her life is supposed to end---but instead she discovers it is only just beginning.",11896,4.19,2003,en-US,950.81,570.486
3462,The Rescue,Nicholas Sparks,Romance,"When confronted by raging fires or deadly accidents, volunteer fireman Taylor McAden feels compelled to take terrifying risks; but there is one leap of faith Taylor can't bring himself to make: He can't fall in love.BookPage calls Nicholas Sparks, ""a modern master of fateful love stories,"" and his phenomenal bestsellers- The Notebook, Message in a Bottle, and A Walk to Remember- have made him one of America's most beloved storytellers. Here, in his newest work, Sparks tells a story about making the greatest commitment of all...loving someone forever. The Rescue When confronted by raging fires or deadly accidents, volunteer fireman Taylor McAden feels compelled to take terrifying risks - risks no one else in the department would ever take - to save lives. But there is one leap of faith Taylor can't bring himself to make: He can't fall in love. For all his adult years, Taylor has sought out women who need to be rescued, women he leaves as soon as their crisis is over, as soon as the relationship starts to become truly intimate. Then, one day, a raging, record-breaking storm hits his small Southern town. Denise Holton, a young single mother, is driving through it when her car skids off the road. With her is her four-year-old son, Kyle, a boy with severe learning disabilities and for whom she has sacrificed everything. Unconscious and bleeding, she-but not Kyle-will be found by Taylor McAden. And when she wakes, the chilling truth becomes clear to both of them: Kyle is gone. During the search for Kyle, the connection, the lifeline, between Taylor and Denise takes root. Taylor doesn't know that this rescue will be different from all the others, demanding far more than raw physical courage. That it will lead him to the possibility of his own rescue from a life lived without love. That it will require him to open doors to his past that were slammed shut by pain. That it will dare him to live life to the fullest by daring to love. In The Rescue Nicholas Sparks weaves his inimitable spell, immersing us in the passions and the surprising complexities of modern relationships-and in doing so, teaching us something about our own.",5084,4.12,2000,en-US,8569.34,0.0
3463,A Bend in the Road,Nicholas Sparks,Romance,"Miles Ryan's life seemed to end the day his wife was killed in a hit-and-run accident two years ago. Missy had been his first love, and Miles fervently believes she will be his last. As a deputy in the North Carolina town of New Bern, Miles Ryan not only grieves for Missy, but also longs to bring the unknown driver to justice. Then Miles meets Sarah Andrews. The second grade teacher of his son, Jonah, Sarah had left Baltimore after a difficult divorce to start over in the gentler surroundings of New Bern. Perhaps it's her own emotional wounds that make her sensitive to the hurt she first sees in Jonah's eyes, and then his father's. Tentatively, Sarah and Miles reach out to each other. Soon they are both laughing for the first time in years . . . and falling in love. Neither will be able to guess how closely linked they are to a shocking secret -- one that will force them to question everything they ever believed in . . . and make a heartbreaking choice that will change their lives forever.",4751,4.04,2001,eng,1353.2,811.92
3464,True Believer,Nicholas Sparks,Romance,"Jeremy Marsh is the ultimate New Yorker: handsome, almost always dressed in black, and part of the media elite. An expert on debunking the supernatural with a regular column in Scientific American, he's just made his first appearance on national TV. When he receives a letter from the tiny town of Boone Creek, North Carolina, about ghostly lights that appear in a legend-shrouded cemetery, he can't resist driving down to investigate. Here, in this tightly knit community, Lexie Darnell runs the town's library, just as her mother did before the accident that left Lexie an orphan. Disappointed by past relationships, including one that lured her away from home, she is sure of one thing: her future is in Boone Creek, close to her grandmother and all the other people she loves. Jeremy expects to spend a quick week in ""the sticks"" before speeding back to the city. But from the moment he sets eyes on Lexie, he is intrigued and attracted to this beautiful woman who speaks with a soft drawl and confounding honesty. And Lexie, while hesitating to trust this outsider, finds herself thinking of Jeremy more than she cares to admit. Now, if they are to be together, Jeremy Marsh must make a difficult choice: return to the life he knows, or do something he's never done before--take a giant leap of faith. A story about taking chances and following your heart, True Believer will make you, too, believe in the miracle of love.",3629,3.84,2003,en-US,558.88,0.0
3466,The Wedding,Nicholas Sparks,Romance,"After thirty years of marriage, Wilson Lewis, son-in-law of Allie and Noah Calhoun (of The Notebook), is forced to admit that the romance has gone out of his marriage. Desperate to win back his wife, Jane's, heart, he must figure out how to make her fall in love with him... again. Despite the shining example of Allie and Noah's marriage, Wilson is himself a man unable to easily express his emotions. A successful estate attorney, he has provided well for his family, but now, with his daughter's upcoming wedding, he is forced to face the fact that he and Jane have grown apart and he wonders if she even loves him anymore. Wilson is sure of one thing--his love for his wife has only deepened and intensified over the years. Now, with the memories of his in-laws' magnificent fifty-year love affair as his guide, Wilson struggles to find his way back into the heart of the woman he adores.Did You Know?The Wedding is a follow-up to The Notebook?The Wedding was inspired by a few unnamed couples that Nicholas knows well?The novel is set in the North Carolina town in which Nicholas now lives?",7160,3.99,2003,en-US,658.35,395.01
3682,A Great and Terrible Beauty,Libba Bray,Fantasy,"In this debut gothic novel mysterious visions, dark family secrets and a long-lost diary thrust Gemma and her classmates back into the horrors that followed her from India. (Ages 12+)It's 1895, and after the suicide of her mother, 16-year-old Gemma Doyle is shipped off from the life she knows in India to Spence, a proper boarding school in England. Lonely, guilt-ridden, and prone to visions of the future that have an uncomfortable habit of coming true, Gemma's reception there is a chilly one. To make things worse, she's been followed by a mysterious young Indian man, a man sent to watch her. But why? What is her destiny? And what will her entanglement with Spence's most powerful girls—and their foray into the spiritual world—lead to?",10532,3.8,2003,eng,4966.39,2979.834
3711,White Teeth,Zadie Smith,Fiction,"At the center of this invigorating novel are two unlikely friends, Archie Jones and Samad Iqbal. Hapless veterans of World War II, Archie and Samad and their families become agents of England’s irrevocable transformation. A second marriage to Clara Bowden, a beautiful, albeit tooth-challenged, Jamaican half his age, quite literally gives Archie a second lease on life, and produces Irie, a knowing child whose personality doesn’t quite match her name (Jamaican for “no problem”). Samad’s late-in-life arranged marriage (he had to wait for his bride to be born), produces twin sons whose separate paths confound Iqbal’s every effort to direct them, and a renewed, if selective, submission to his Islamic faith. Set against London’s racial and cultural tapestry, venturing across the former empire and into the past as it barrels toward the future, White Teeth revels in the ecstatic hodgepodge of modern life, flirting with disaster, confounding expectations, and embracing the comedy of daily existence.",10252,3.79,1999,en-US,167.31,100.386
3805,The Corrections,Jonathan Franzen,Fiction,"""The Corrections"" is a grandly entertaining novel for the new century - a comic, tragic masterpiece about a family breaking down in an age of easy fixes.After almost fifty years as a wife and mother, Enid Lambert is ready to have some fun. Unfortunately, her husband, Alfred, is losing his sanity to Parkinson's disease, and their children have long since flown the family nest to the catastrophes of their own lives. The oldest, Gary, a once-stable portfolio manager and family man, is trying to convince his wife and himself, despite clear signs to the contrary, that he is not clinically depressed. The middle child, Chip, has lost his seemingly secure academic job and is failing spectacularly at his new line of work. And Denise, the youngest, has escaped a disastrous marriage only to pour her youth and beauty down the drain of an affair with a married man - or so her mother fears. Desperate for some pleasure to look forward to, Enid has set her heart on an elusive goal: bringing her family together for one last Christmas at home. Stretching from the Midwest at midcentury to the Wall Street and Eastern Europe of today, ""The Corrections"" brings an old-fashioned world of civic virtue and sexual inhibitions into violent collision with the era of home surveillance, hands-off parenting, do-it-yourself mental healthcare, and globalised greed. Richly realistic, darkly hilarious, deeply humane, it confirms Jonathan Franzen as one of our most brilliant interpreters of American society and the American soul.",11381,3.83,2001,eng,816.75,0.0
3867,The History of Love,Nicole Krauss,Fiction,"Fourteen-year-old Alma Singer is trying to find a cure for her mother's loneliness. Believing she might discover it in an old book her mother is lovingly translating, she sets out in search of its author. Across New York an old man called Leo Gursky is trying to survive a little bit longer. He spends his days dreaming of the lost love who, sixty years ago in Poland, inspired him to write a book. And although he doesn't know it yet, that book also survived: crossing oceans and generations, and changing lives...An alternative cover edition for this ISBN can be found here",12325,3.92,2005,eng,977.55,0.0
3980,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,Fiction,"Winner of the 1968 Newbery MedalWhen Claudia decided to run away, she planned very carefully. She would be gone just long enough to teach her parents a lesson in Claudia appreciation. And she would go in comfort - she would live at the Metropolitan Museum of Art. She saved her money, and she invited her brother Jamie to go, mostly because he was a miser and would have money.Claudia was a good organizer and Jamie had some ideas, too; so the two took up residence at the museum right on schedule. But once the fun of settling in was over, Claudia had two unexpected problems: She felt just the same, and she wanted to feel different; and she found a statue at the Museum so beautiful she could not go home until she had discovered its maker, a question that baffled the experts, too.The former owner of the statue was Mrs. Basil E. Frankweiler. Without her - well, without her, Claudia might never have found a way to go home.",9122,4.16,1967,eng,1085.37,651.222
4009,Nine Stories,J.D. Salinger,Short Stories,"Nine Stories (1953) is a collection of short stories by American fiction writer J. D. Salinger published in April 1953. It includes two of his most famous short stories, ""A Perfect Day for Bananafish"" and ""For Esmé – with Love and Squalor"". (Nine Stories is the U.S. title; the book is published in many other countries as For Esmé - with Love and Squalor, and Other Stories.)The stories are:""A Perfect Day for Bananafish""""Uncle Wiggily in Connecticut""""Just Before the War with the Eskimos""""The Laughing Man""""Down at the Dinghy""""For Esmé – with Love and Squalor""""Pretty Mouth and Green My Eyes""""De Daumier-Smith's Blue Period""""Teddy""",5819,4.18,1953,eng,2154.6,0.0
4136,Holidays on Ice,David Sedaris,Humor,"David Sedaris's beloved holiday collection is new again with six more pieces, including a never before published story. Along with such favorites as the diaries of a Macy's elf and the annals of two very competitive families, are Sedaris's tales of tardy trick-or-treaters (Us and Them); the difficulties of explaining the Easter Bunny to the French (Jesus Shaves); what to do when you've been locked out in a snowstorm (Let It Snow); the puzzling Christmas traditions of other nations (Six to Eight Black Men); what Halloween at the medical examiner's looks like (The Monster Mash); and a barnyard secret Santa scheme gone awry (Cow and Turkey).",6834,3.89,1997,eng,595.01,0.0
4271,About a Boy,Nick Hornby,Fiction,"ACE for ISBN 9780140293456Will is thirty-six but acts like a teenager. Single, child-free and still feeling cool, he reads the right magazines, goes to the right clubs and knows which trainers to wear. He's also discovered a great way to score with women at single parents' groups, full of available (and grateful) mothers, all waiting for Mr Nice Guy. That's where he meets Marcus, the oldest twelve-year-old in the world. Marcus is a bit strange: he listens to Joni Mitchell and Mozart, he looks after his Mum and he's never even owned a pair of trainers. Perhaps if Will can teach Marcus how to be a kid, Marcus can help Will grow up and they can both start to act their age.",3935,3.79,1998,en-US,1079.39,647.634
4631,A Moveable Feast,Ernest Hemingway,Nonfiction,"Hemingway's memories of his life as an unknown writer living in Paris in the twenties are deeply personal, warmly affectionate, and full of wit. Looking back not only at his own much younger self, but also at the other writers who shared Paris with him - James Joyce, Wyndham Lewis, Scott and Zelda Fitzgerald - he recalls the time when, poor, happy, and writing in cafes, he discovered his vocation. Written during the last years of Hemingway's life, his memoir is a lively and powerful reflection of his genius that scintillates with the romance of the city.",11147,4.02,1964,eng,813.37,488.022
4687,The Cider House Rules,John Irving,Fiction,"Raised from birth in the orphanage at St. Cloud's, Maine, Homer Wells has become the protege of Dr. Wilbur Larch, its physician and director. There Dr. Larch cares for the troubled mothers who seek his help, either by delivering and taking in their unwanted babies or by performing illegal abortions. Meticulously trained by Dr. Larch, Homer assists in the former, but draws the line at the latter. Then a young man brings his beautiful fiancee to Dr. Larch for an abortion, and everything about the couple beckons Homer to the wide world outside the orphanage ...",5140,4.16,1985,eng,1134.3,0.0
4978,Wolves of the Calla,Stephen King,Fantasy,"Roland and his tet have just returned to the path of the Beam when they discover that they are being followed by a group of inexperienced trackers. The trackers are from the town of Calla Bryn Sturgis, and they desperately need the help of gunslingers. Once every generation, a band of masked riders known as the Wolves gallop out of the dark land of Thunderclap to steal one half of all the twins born in the Callas. When the children are returned, they are roont, or mentally and physically ruined. In less than a month, the Wolves will raid again. In exchange for Roland’s aid, Father Callahan—a priest originally from our world—offers to give Roland a powerful but evil seeing sphere, a sinister globe called Black Thirteen which he has hidden below the floorboards of his church. Not only must Roland and his tet discover a way to defeat the invincible Wolves, but they must also return to New York so that they can save our world’s incarnation of the Dark Tower from the machinations of the evil Sombra Corporation.",5762,4.2,2003,eng,603.98,0.0
4982,The Sirens of Titan,Kurt Vonnegut Jr.,Fiction,"The Sirens of Titan is an outrageous romp through space, time, and morality. The richest, most depraved man on Earth, Malachi Constant, is offered a chance to take a space journey to distant worlds with a beautiful woman at his side. Of course there's a catch to the invitation—and a prophetic vision about the purpose of human life that only Vonnegut has the courage to tell.",6953,4.15,1959,en-GB,151.0,90.6
